i,fr,sudut,p1,p2,galat,nyambung,f_badan,puncak_rel_badan,saddle_rel_badan,r_sel,luas_sel,st_gabung,br_gabung,terdeteksi,iou_inti,br_ref,st_ref,br_kor,st_kor
248,0.9771082873612826,1.1538202334488228,pbcseg_final_v1\MO_778543_ccrop_mask.png,pbcseg_final_v1\MO_307859_ccrop_mask.png,,True,0.39787222715556503,0.6969287611638967,0.29905653400833165,78.91767862779544,37935,terpisah_di_nol,0.0,True,1.0,0.6078964364126885,normal,0.6078964364126885,normal
249,0.7336881085832614,1.4988477343817965,pbcseg_final_v1\MO_88838_ccrop_mask.png,pbcseg_final_v1\LY_793772_ccrop_mask.png,,True,0.10771359871732253,0.8295786565865599,0.7218650578692374,61.204574992397426,26041,terpisah_di_nol,0.0,True,0.9492916463116756,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
266,0.7864043690495223,4.282047718253819,pbcseg_final_v1\MO_861099_ccrop_mask.png,pbcseg_final_v1\MO_271560_ccrop_mask.png,,True,0.21394800411876216,0.8142925629887872,0.6003445588700249,82.28000972289685,38060,terpisah_di_nol,0.0,True,1.0,0.715022402199595,normal,0.715022402199595,normal
267,0.9798358619424887,6.055646919420161,pbcseg_final_v1\LY_83324_ccrop_mask.png,pbcseg_final_v1\MO_184578_ccrop_mask.png,,True,0.6206155450567823,0.7702791798645491,0.14966363480776676,63.387695966961914,22818,terpisah_di_nol,0.0,True,0.9992654620243867,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
268,0.7299255057747797,3.7118124324658943,pbcseg_final_v1\MO_548509_ccrop_mask.png,pbcseg_final_v1\LY_321533_ccrop_mask.png,,True,0.038064748596384326,0.66888567389413,0.6308209252977457,68.18357573492314,25339,terpisah_di_nol,0.0,False,0.6848994515539305,1.0,tak_pernah_pecah,0.0,terpisah_di_nol
269,0.8775245561914476,4.86638211491592,pbcseg_final_v1\MO_111934_ccrop_mask.png,pbcseg_final_v1\MO_310770_ccrop_mask.png,,True,0.4675701608607868,0.9835207264672066,0.5159505656064198,60.08327554319921,29427,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
270,0.961271610798228,5.904473191866312,pbcseg_final_v1\MO_162174_ccrop_mask.png,pbcseg_final_v1\LY_651080_ccrop_mask.png,,True,0.2799207995662029,0.6573791563197969,0.37745835675359396,79.6994353806851,38207,terpisah_di_nol,0.0,True,1.0,0.7694153624668538,normal,0.7694153624668538,normal
271,0.8538127026927399,2.2285255480525072,pbcseg_final_v1\MO_652110_ccrop_mask.png,pbcseg_final_v1\MO_853737_ccrop_mask.png,,True,0.29426962548765984,0.7545077174421843,0.4602380919545245,83.19254774317228,35511,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
272,0.9468893554061749,5.159123305855566,pbcseg_final_v1\MO_371068_ccrop_mask.png,pbcseg_final_v1\MO_2733_ccrop_mask.png,,True,0.42133448445740085,0.7449875016072555,0.3236530171498546,79.19595949289332,42638,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
273,0.8535459312148261,2.7875621985907992,pbcseg_final_v1\MO_120253_ccrop_mask.png,pbcseg_final_v1\MO_516349_ccrop_mask.png,,True,0.5226530412403376,0.9697173083609865,0.44706426712064884,67.02984409947557,37774,terpisah_di_nol,0.0,True,1.0,0.49751859510499463,normal,0.49751859510499463,normal
