tau,rho,n_kalibrasi,skor_mentah,rec_t1,rec_t2,rec_t3,skor_makro3,rec_harus_pecah,rec_harus_utuh,skor_br,limf_tak_pecah,limf_lobus,eo_lobus
0.5,0.5,5736,0.6623082287308228,0.6688907422852377,0.5813953488372093,0.8827014218009479,0.7109958376411316,0.987417615338526,0.9708097928436912,0.9791137040911086,0.9719934102141681,1.0321252059308073,2.6522297080526145
0.5,0.6,5736,0.6668410041841004,0.6809841534612177,0.6146752205292703,0.7808056872037915,0.6921550203980932,0.981426003594967,0.9717514124293786,0.9765887080121728,0.9728171334431631,1.028006589785832,2.564324671158165
0.5,0.7,5736,0.6677126917712691,0.6997497914929107,0.6672012830793905,0.5781990521327014,0.6483833755683343,0.9613541042540443,0.972693032015066,0.9670235681345551,0.9728171334431631,1.027182866556837,2.405197305101059
0.75,0.0,5736,0.6666666666666666,0.6993327773144287,0.5489174017642342,0.9218009478672986,0.7233503756486538,0.9898142600359496,0.9792843691148776,0.9845493145754136,0.9835255354200988,1.027182866556837,2.7061276868784088
0.75,0.1,5736,0.6698047419804742,0.6993327773144287,0.5561347233360064,0.9218009478672986,0.7257561495059113,0.9898142600359496,0.9792843691148776,0.9845493145754136,0.9835255354200988,1.027182866556837,2.692974013474495
0.75,0.2,5736,0.6797419804741981,0.701000834028357,0.5773857257417803,0.9218009478672986,0.7333958358791453,0.9895146794487717,0.980225988700565,0.9848703340746683,0.9835255354200988,1.0263591433278418,2.650304780237408
0.75,0.3,5736,0.6867154811715481,0.7018348623853211,0.5930232558139535,0.9206161137440758,0.7384914106477835,0.9892150988615938,0.980225988700565,0.9847205437810793,0.9835255354200988,1.0255354200988467,2.6272056464549247
0.75,0.4,5736,0.699442119944212,0.7064220183486238,0.6218925421010425,0.9087677725118484,0.7456941109871716,0.9889155182744158,0.980225988700565,0.9845707534874903,0.984349258649094,1.0230642504118617,2.5851780558229067
0.75,0.5,5736,0.7074616457461645,0.7105921601334445,0.6523656776263032,0.8613744075829384,0.7414440817808954,0.9853205512282804,0.9811676082862524,0.9832440797572664,0.985996705107084,1.0181219110378912,2.5280718639717676
0.75,0.6,5736,0.7078103207810321,0.7214345287739783,0.6808340016038492,0.7488151658767772,0.7170278987515349,0.9787297783103655,0.9821092278719398,0.9804195030911527,0.9868204283360791,1.014003294892916,2.4523580365736284
0.75,0.7,5736,0.7048465829846583,0.7402001668056714,0.7289494787489976,0.533175355450237,0.6674416670016354,0.9589574595566207,0.9830508474576272,0.9710041535071239,0.9868204283360791,1.013179571663921,2.3099133782483157
1.0,0.0,5736,0.7003138075313807,0.7210175145954962,0.611467522052927,0.9040284360189573,0.7455044908891267,0.9868184541641701,0.9830508474576272,0.9849346508108987,0.985172981878089,1.0255354200988467,2.5925569457811997
1.0,0.1,5736,0.7018828451882845,0.7210175145954962,0.6150761828388132,0.9040284360189573,0.7467073778177555,0.9868184541641701,0.9830508474576272,0.9849346508108987,0.985172981878089,1.0255354200988467,2.58614051973051
1.0,0.2,5736,0.7078103207810321,0.7231025854879066,0.6267040898155574,0.9040284360189573,0.751278370440807,0.9868184541641701,0.9839924670433146,0.9854054606037423,0.985172981878089,1.0247116968698518,2.5688161693936475
1.0,0.3,5736,0.7139121338912134,0.7235195996663887,0.6411387329591018,0.9016587677725119,0.7554390334660009,0.9865188735769922,0.9839924670433146,0.9852556703101534,0.985172981878089,1.0238879736408566,2.547962784728906
1.0,0.4,5736,0.726813110181311,0.7276897414512093,0.6688051323175621,0.8957345971563981,0.76407649030839,0.9859197124026363,0.9839924670433146,0.9849560897229754,0.985996705107084,1.0214168039538716,2.510426692332371
1.0,0.5,5736,0.7353556485355649,0.73185988323603,0.7004811547714515,0.8483412322274881,0.7602274234116565,0.9826243259436789,0.9858757062146892,0.984250016079184,0.9876441515650741,1.016474464579901,2.4578119987167146
1.0,0.6,5736,0.7346582984658299,0.7414512093411176,0.7281475541299118,0.7345971563981043,0.7347319732897112,0.9760335530257639,0.9868173258003766,0.9814254394130703,0.9884678747940692,1.0123558484349258,2.3881937760667307
1.0,0.7,5736,0.727510460251046,0.7610508757297748,0.7654370489174017,0.5201421800947867,0.6822100349139877,0.9559616536848412,0.9868173258003766,0.971389489742609,0.9884678747940692,1.0115321252059308,2.256977863330125
1.25,0.0,5736,0.7236750348675035,0.7418682235195997,0.6499599037690457,0.8898104265402843,0.7605461846096432,0.9853205512282804,0.9858757062146892,0.9855981287214848,0.9868204283360791,1.0230642504118617,2.5312800769971124
1.25,0.1,5736,0.7241980474198048,0.7418682235195997,0.6511627906976745,0.8898104265402843,0.7609471469191861,0.9853205512282804,0.9858757062146892,0.9855981287214848,0.9868204283360791,1.0230642504118617,2.530317613089509
1.25,0.2,5736,0.7285564853556485,0.74395329441201,0.6595829991980754,0.8886255924170616,0.764053962009049,0.9853205512282804,0.9868173258003766,0.9860689385143285,0.9868204283360791,1.0222405271828665,2.5194096888033366
1.25,0.3,5736,0.7339609483960948,0.7447873227689742,0.6720128307939054,0.8862559241706162,0.7676853592444987,0.9850209706411025,0.9868173258003766,0.9859191482207396,0.9868204283360791,1.0214168039538716,2.5008020532563364
1.25,0.4,5736,0.7459902370990237,0.7481234361968306,0.698476343223737,0.8803317535545023,0.7756438443250233,0.9844218094667465,0.9868173258003766,0.9856195676335615,0.9868204283360791,1.0197693574958815,2.4655117099775423
1.25,0.5,5736,0.7547071129707112,0.7518765638031694,0.7305533279871692,0.8341232227488151,0.7721843715130513,0.9811264230077891,0.9887005649717514,0.9849134939897702,0.9884678747940692,1.014827018121911,2.4161052293872314
1.25,0.6,5736,0.752092050209205,0.7602168473728107,0.7542101042502005,0.7227488151658767,0.745725255596296,0.9733373277411623,0.9896421845574388,0.9814897561493006,0.9892915980230642,1.0115321252059308,2.3503368623676613
1.25,0.7,5736,0.7418061366806137,0.7773144286905754,0.7870890136327185,0.5071090047393365,0.6905041490208769,0.9529658478130617,0.9896421845574388,0.9713040161852502,0.9892915980230642,1.0107084019769357,2.2264998395893487
1.5,0.0,5736,0.7383193863319386,0.7593828190158466,0.6708099438652767,0.8779620853080569,0.7693849493963935,0.9823247453565009,0.9887005649717514,0.9855126551641262,0.9892915980230642,1.0189456342668863,2.4918190567853706
1.5,0.1,5736,0.7386680613668062,0.7593828190158466,0.6716118684843625,0.8779620853080569,0.7696522576027554,0.9823247453565009,0.9887005649717514,0.9855126551641262,0.9892915980230642,1.0189456342668863,2.4911774141803016
1.5,0.2,5736,0.7419804741980475,0.7610508757297748,0.6780272654370489,0.8767772511848341,0.7719517974505526,0.9823247453565009,0.9896421845574388,0.9859834649569699,0.9892915980230642,1.0181219110378912,2.482836060314405
1.5,0.3,5736,0.7473849372384938,0.7618849040867389,0.6904570970328789,0.8744075829383886,0.7755831946860022,0.982025164769323,0.9896421845574388,0.9858336746633809,0.9892915980230642,1.0181219110378912,2.4655117099775423
